show_id,title,director,genres,cast,production_country,release_year,rating,duration,imdb_score,content_type,date_added
cc1b6ed9-cf9e-4057-8303-34577fb54477,(Un)Well,,Reality TV,,United States,2020,TV-MA,1 Season,6.6,TV Show,
e2ef4e91-fb25-42ab-b485-be8e3b23dedb,Alive,Cho Il,Horror Movies,"Yoo Ah-in, Park Shin-hye",South Korea,2020,TV-MA,99 min,6.2,Movie,2020-09-08
e2ef4e91-fb25-42ab-b485-be8e3b23dedb,Alive,Cho Il,International Movies,"Yoo Ah-in, Park Shin-hye",South Korea,2020,TV-MA,99 min,6.2,Movie,2020-09-08
e2ef4e91-fb25-42ab-b485-be8e3b23dedb,Alive,Cho Il,Thrillers,"Yoo Ah-in, Park Shin-hye",South Korea,2020,TV-MA,99 min,6.2,Movie,2020-09-08
b01b73b7-81f6-47a7-86d8-acb63080d525,AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",Documentaries,"Helen Mirren, Gengher Gatti",Italy,2019,TV-14,95 min,6.4,Movie,2020-07-01
b01b73b7-81f6-47a7-86d8-acb63080d525,AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",International Movies,"Helen Mirren, Gengher Gatti",Italy,2019,TV-14,95 min,6.4,Movie,2020-07-01
b6611af0-f53c-4a08-9ffa-9716dc57eb9c,blackAF,,TV Comedies,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,2020,TV-MA,1 Season,6.6,TV Show,
7f2d4170-bab8-4d75-adc2-197f7124c070,cats_the_mewvie,Michael Margolis,Documentaries,,Canada,2020,TV-14,90 min,5.1,Movie,2020-02-05
7f2d4170-bab8-4d75-adc2-197f7124c070,cats_the_mewvie,Michael Margolis,International Movies,,Canada,2020,TV-14,90 min,5.1,Movie,2020-02-05
c293788a-41f7-49a3-a7fc-005ea33bce2b,FriendButMarried,Rako Prijanto,Dramas,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2018,TV-G,102 min,7.0,Movie,2020-05-21
c293788a-41f7-49a3-a7fc-005ea33bce2b,FriendButMarried,Rako Prijanto,International Movies,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2018,TV-G,102 min,7.0,Movie,2020-05-21
